station,lat,long
HBF/Mönckebergstraße,53.551551,10.004332
Hauptbahnhof/ZOB,53.552247,10.011292
Borgfelder Straße,53.554753,10.034689
Hübbesweg,53.554607,10.061137
U Burgstraße,53.555642,10.04144
U S Berliner Tor (Beim Strohhause),53.553517,10.023235
Spaldingstraße,53.547154,10.010801
Lippeltstraße,53.545503,10.01574
Nagelsweg,53.543076,10.022908
U Steinstraße (Deichtorplatz),53.548953,10.006444
U S Berliner Tor (Bürgerweide),53.553323,10.026037
Beim Hammer Marktplatz,53.557082,10.054543
U Hammer Kirche,53.555564,10.054521
Saling,53.559043,10.048179
HBF/Spitalerstraße,53.552643,10.005605
U Wartenau,53.563679,10.033804
U Lohmühlenstraße,53.556865,10.019498
Böckmannstraße,53.554898,10.015165
U Lübecker Straße,53.560056,10.028781
HBF/Kirchenallee,53.552931,10.008751
Gurlittstraße,53.557349,10.01121
AK St. Georg,53.56005,10.01476
Graumannsweg,53.562944,10.017632
S Landwehr (Ramazan-Avci-Platz),53.561105,10.037333
Bürgerweide (Ost),53.559247,10.038208
Alfredstraße,53.557293,10.031339
Wendenstraße,53.547179,10.028845
Süderstraße,53.545487,10.030192
Billstraße,53.541094,10.033253
Ausschläger Weg (LBV),53.547276,10.037447
Grüne Brücke,53.543617,10.040782
Billstraße (Mitte),53.536232,10.056996
Luisenweg,53.548166,10.046703
Schadesweg,53.547612,10.052452
Kunsthalle,53.554975,10.001797
Gerhart-Hauptmann-Platz,53.550767,9.998064
U Hallerstraße,53.573271,9.988629
Rathausmarkt,53.550413,9.99398
Museum am Rothenbaum,53.568439,9.98838
Michaeliskirche,53.549174,9.978516
Heinrich-Hertz-Turm,53.564719,9.976324
Museum für Hamburgische Geschichte,53.550272,9.973939
Handwerkskammer,53.553269,9.976709
Johannes-Brahms-Platz,53.554986,9.978816
Axel-Springer-Platz,53.551478,9.985736
U Gänsemarkt,53.555331,9.988646
U Stephansplatz,53.557857,9.989099
Oberstraße,53.578013,9.98889
Sievekingplatz,53.555967,9.977466
U Hoheluftbrücke,53.57831,9.976208
Bf. Dammtor,53.561665,9.990455
Fontenay,53.564202,9.994409
Universität/Staatsbibliothek,53.564565,9.984075
Grindelhof,53.566881,9.981109
Bezirksamt Eimsbüttel,53.572324,9.978411
Alsterchaussee,53.572317,9.994222
Böttgerstraße,53.568146,9.995528
U Baumwall,53.544085,9.980053
Bei St. Annen,53.545542,9.99726
"Stapelfeld, Reinbeker Straße",53.605095,10.218648
"Stapelfeld, Heinrich-Ruge-Straße",53.605295,10.212202
"Stapelfeld, Am Schwartenreeten",53.605375,10.200692
Gewerbepark Merkur (Süd),53.603393,10.188701
320149,53.60528,10.195009
"Garstedt, Kohfurth",53.688411,9.984029
"Garstedt, Aurikelstieg",53.690185,9.9889
"Garstedt, ARRIBA-Bad",53.688554,9.997051
"Garstedt, Breslauer Straße",53.68408,9.99805
"Garstedt, Marommer Straße (Ost)",53.6907,9.996193
Harmsstraße,53.454711,9.976191
Eißendorfer Straße (TU Hamburg),53.459484,9.971573
Kasernenstraße (TU Hamburg),53.463548,9.971304
Berkefeldweg,53.470598,9.952806
S Harburg Rathaus (Hölertwiete),53.461537,9.982024
Knoopstraße/Bremer Straße,53.458077,9.981011
Moorstraße (Phoenix-Center),53.45691,9.986343
Schellerdamm,53.466025,9.988061
S Harburg Rathaus,53.460607,9.981123
S Harburg Rathaus (Eißendorfer Straße),53.459961,9.977064
Seehafenbrücke (Amtsgericht),53.464937,9.977822
Unterelbestraße,53.467238,9.970576
Grumbrechtstraße,53.468224,9.967496
Bissingstraße,53.46966,9.962198
Neuländer Straße,53.466863,9.992146
Süderelbe (Süd),53.47054,9.994024
Harburger Ring,53.459282,9.984245
An de Geest,53.47062,9.819017
Neckersstücken,53.471298,9.821048
Ohrnsweg,53.473848,9.822663
Fischbeker Heuweg,53.471038,9.827534
Rostweg,53.471422,9.831682
Geutensweg,53.472339,9.840676
Stremelweg,53.472622,9.843845
S Neugraben,53.473665,9.853805
Georg-Heyken-Straße,53.482777,9.90016
Neugrabener Markt,53.47057,9.854376
Fischbeker Holtweg,53.467534,9.859269
Neugrabener Heideweg,53.462156,9.866117
Lüttmattensteed,53.459009,9.866399
Bauernholztal,53.456841,9.866701
Quellgrund,53.453065,9.867045
Waldfrieden (Kehre),53.449409,9.86807
Fischbeker Heideweg,53.459316,9.851244
Grundheide,53.464193,9.855241
Francoper Straße,53.471444,9.864062
Opferberg,53.471938,9.877596
Talweg,53.472041,9.88436
Hausbruch,53.471685,9.894789
Haake,53.470875,9.902076
Försterkamp,53.470536,9.915969
Zum Dubben,53.473976,9.904356
S Neuwiedenthal,53.472925,9.874152
Rehrstieg,53.476827,9.875046
Twistering,53.477789,9.878696
Hardauring,53.478323,9.884235
Altwiedenthaler Straße,53.478125,9.887936
Hausbrucher Bahnhofstraße,53.477378,9.895301
Neuwiedenthaler Straße (Ost),53.476785,9.898888
Moorburger Kreuzung,53.496194,9.910585
Neuwiedenthaler Straße (West),53.476813,9.862092
Heykenaukamp (Kehre),53.477864,9.909424
Friedhof Neuwiedenthal,53.47636,9.867656
Heykenauweg (Süd),53.479439,9.900782
Ringheide,53.462023,9.854565
Heimfelder Straße 123,53.460949,9.940169
Rickelstraße,53.448793,9.949097
Beerentalweg,53.448344,9.943412
Strucksbarg,53.449983,9.937127
Göhlbachtal,53.45351,9.954787
Lübbersweg,53.455887,9.955202
Mehringweg,53.456868,9.960598
Dempwolffstraße,53.457815,9.965784
Auf der Jahnhöhe,53.453791,9.929383
Ehestorfer Weg (Mitte),53.455013,9.937448
Bünte,53.455286,9.942663
Lichtenauerweg,53.455069,9.946316
Gellersenweg,53.4549,9.949504
Lohmannsweg,53.464215,9.957647
Thörlstraße,53.464569,9.959553
S Heimfeld,53.465227,9.962564
Eißendorfer Pferdeweg (Mitte),53.462906,9.950631
Lühmannstraße,53.457688,9.946841
Triftstraße,53.457787,9.943441
Eißendorfer Pferdeweg (Nord),53.471111,9.944836
Krankenhaus Mariahilf,53.471028,9.935949
Bostelbek,53.470908,9.931684
Moorstieg,53.470653,9.920625
Seestücken,53.449421,9.953672
Forstweg,53.459705,9.938335
Hainholzweg (Mitte),53.45069,9.929526
Große Straße,53.450645,9.923714
"Fleestedt, Mühlenweg",53.414073,9.984509
Rönneburger Kirchweg,53.428738,9.982305
Buchholzer Weg,53.432041,9.983796
Freudenthalweg,53.439804,9.988219
Winsener Straße (Nord),53.445963,9.991056
Reeseberg,53.451311,9.987583
Sinstorfer Kirchweg,53.424223,9.980637
Maretstraße (Bürgerzentrum),53.452192,9.983178
Haithabuweg,53.424987,9.968469
Freizeitbad MidSommerland,53.447878,9.981107
Hirschkäferweg,53.426486,9.960906
"Meckelfeld, Hillenklint",53.426039,10.018048
"Meckelfeld, Roggenkamp",53.415331,10.026109
"Meckelfeld, Lönsring",53.418851,10.02639
"Meckelfeld, Am Felde",53.422537,10.029322
"Meckelfeld, Am Blöcken",53.428414,10.015622
"Meckelfeld, An den Höfen",53.422339,10.024097
"Meckelfeld, Rönneburger Straße",53.422078,10.018961
"Meckelfeld, Helbach-Haus",53.422014,10.015846
"Meckelfeld, Alter Kirchweg",53.42241,10.011538
"Meckelfeld, Buchenhain",53.422776,10.005514
"Meckelfeld, Waldquelle",53.42416,9.996912
Höpengrund,53.424889,9.992401
"Meckelfeld, Lerchenweg",53.417124,10.026634
