Location,Employees,Avg_commute_time,Avg_distance_from_home_to_station,High_adoption_percentage,Unique_stations,Main_station,Connectivity_score,Connectivity_category
Ahrensburg,18,58.54,1.65,100.0,2,Ahrensburg,2.7,Less attractive public transport
Ammersbek,12,52.4,2.31,100.0,2,Ammersbek,2.4,Less attractive public transport
Bergedorf,12,76.02,3.06,91.67,2,Bergedorf,1.7,Less attractive public transport
Elmshorn,12,69.88,3.14,100.0,2,Elmshorn,1.7,Less attractive public transport
Halstenbek,18,49.09,1.61,100.0,4,Halstenbek,3.3,Strong public transport connectivity
Hamburg-Altona,24,55.73,2.03,100.0,6,Altona,2.6,Less attractive public transport
Hamburg-Barmbek,18,50.25,1.15,100.0,9,Wandsbek-Gartenstadt,2.9,Less attractive public transport
Hamburg-Eimsbüttel,24,51.75,1.39,100.0,8,Eimsbüttel / Osterstraße,2.9,Less attractive public transport
Hamburg-Harburg,12,75.03,2.16,100.0,1,Harburg,1.9,Less attractive public transport
Hamburg-Nord,18,49.98,1.28,100.0,7,Winterhude / Hudtwalckerstraße,3.3,Strong public transport connectivity
Hamburg-Wandsbek,24,53.43,1.38,100.0,8,Burgstraße,2.9,Less attractive public transport
Henstedt-Ulzburg,12,48.82,1.91,100.0,3,Henstedt-Ulzburg,3.2,Strong public transport connectivity
Kaltenkirchen,12,57.43,2.46,100.0,2,Kaltenkirchen,2.4,Less attractive public transport
Langenhorn,18,33.54,1.82,33.33,6,Langenhorn Nord,3.1,Strong public transport connectivity
Lokstedt,18,46.92,1.41,100.0,5,Stellingen,3.3,Strong public transport connectivity
Lüneburg,12,128.11,2.54,0.0,1,Lüneburg,1.3,Less attractive public transport
Niendorf,18,45.42,1.45,100.0,5,Niendorf Markt,3.3,Strong public transport connectivity
Norderstedt,30,31.35,1.83,33.33,9,Norderstedt Harksheide,3.1,Strong public transport connectivity
Norderstedt-Garstedt,18,30.56,1.66,33.33,6,Norderstedt Harksheide,3.1,Strong public transport connectivity
Norderstedt-Harksheide,18,35.09,2.26,66.67,5,Norderstedt Harksheide,3.2,Strong public transport connectivity
Pinneberg,18,50.86,2.18,100.0,2,Pinneberg,2.4,Less attractive public transport
Poppenbüttel,12,44.66,1.4,100.0,3,Poppenbüttel,3.2,Strong public transport connectivity
Quickborn,18,43.21,2.46,100.0,1,Quickborn,2.7,Less attractive public transport
Rellingen,18,47.95,2.02,100.0,4,Halstenbek,3.0,Strong public transport connectivity
Schenefeld,18,52.09,1.87,100.0,5,Schenefeld,2.9,Less attractive public transport
Stellingen,12,49.38,2.03,100.0,6,Stellingen,3.0,Strong public transport connectivity
Tornesch,12,59.1,2.06,100.0,3,Tornesch,2.5,Less attractive public transport
Uetersen,12,66.41,2.59,100.0,2,Uetersen,2.0,Less attractive public transport
Wedel,12,68.62,3.32,100.0,2,Wedel,1.7,Less attractive public transport
Winterhude,18,48.59,1.24,100.0,12,Winterhude / Hudtwalckerstraße,3.3,Strong public transport connectivity
