EMP_ID,Location,Possible_nearest_station,Distance_to_cover(kms),distance_to_station(kms),station_to_workplace(kms),total_time,commute_group,Deutschlandticket_Metric
JNJMED_1,Hamburg-Altona,Altona,15.0,1.07,15.73,54.1,Good,Very High
JNJMED_2,Hamburg-Altona,U S Sternschanze,14.22,0.66,14.12,54.4,Good,Very High
JNJMED_3,Hamburg-Altona,Altona,16.62,1.09,15.73,54.2,Good,Very High
JNJMED_4,Hamburg-Altona,Lutterothstraße,12.28,0.36,12.29,45.3,Good,Very High
JNJMED_5,Hamburg-Altona,Altona,16.86,1.47,15.73,54.9,Good,Very High
JNJMED_6,Hamburg-Altona,Altona,17.23,1.78,15.73,55.6,Good,Very High
JNJMED_7,Hamburg-Altona,Tönninger Weg (Osdorf),16.72,2.29,16.22,57.4,Good,Very High
JNJMED_8,Hamburg-Altona,Altona,20.0,4.31,15.73,60.6,Time consuming,High
JNJMED_9,Hamburg-Altona,Altona,18.12,2.49,15.73,57.0,Good,Very High
JNJMED_10,Hamburg-Altona,Altona,18.72,3.86,15.73,59.7,Good,Very High
JNJMED_11,Hamburg-Altona,Stellingen,12.97,1.2,11.94,47.9,Good,Very High
JNJMED_12,Hamburg-Altona,Bahrenfeld,16.69,2.21,14.51,54.3,Good,Very High
JNJMED_13,Hamburg-Altona,Altona,17.16,1.44,15.73,54.9,Good,Very High
JNJMED_14,Hamburg-Altona,Altona,18.41,2.82,15.73,57.6,Good,Very High
JNJMED_15,Hamburg-Altona,Altona,17.44,1.81,15.73,55.6,Good,Very High
JNJMED_16,Hamburg-Altona,U Baumwall,17.0,0.77,16.32,60.4,Time consuming,High
JNJMED_17,Hamburg-Altona,Bahrenfeld,16.61,2.13,14.51,54.2,Good,Very High
JNJMED_18,Hamburg-Altona,Bahrenfeld,14.98,0.73,14.51,56.5,Good,Very High
JNJMED_19,Hamburg-Altona,Tönninger Weg (Osdorf),16.83,2.27,16.22,57.3,Good,Very High
JNJMED_20,Hamburg-Altona,Altona,18.85,3.18,15.73,58.4,Good,Very High
JNJMED_21,Hamburg-Altona,Altona,14.33,1.42,15.73,54.8,Good,Very High
JNJMED_22,Hamburg-Altona,Altona,16.4,1.05,15.73,54.1,Good,Very High
JNJMED_23,Hamburg-Altona,Altona,19.54,3.93,15.73,59.9,Good,Very High
JNJMED_24,Hamburg-Altona,U S Landungsbrücken,16.73,0.84,16.07,61.3,Time consuming,High
JNJMED_25,Hamburg-Eimsbüttel,Bahrenfeld,13.31,1.54,14.51,53.0,Good,Very High
JNJMED_26,Hamburg-Eimsbüttel,Lutterothstraße,12.47,0.61,12.29,50.3,Good,Very High
JNJMED_27,Hamburg-Eimsbüttel,U S Sternschanze,14.41,0.34,14.12,48.0,Good,Very High
JNJMED_28,Hamburg-Eimsbüttel,U Kellinghusenstraße,10.58,1.19,11.38,46.9,Good,Very High
JNJMED_29,Hamburg-Eimsbüttel,Altona,14.98,0.79,15.73,59.8,Good,Very High
JNJMED_30,Hamburg-Eimsbüttel,U Hoheluftbrücke,12.14,0.42,12.51,46.8,Good,Very High
JNJMED_31,Hamburg-Eimsbüttel,Eimsbüttel / Osterstraße,14.15,1.31,12.86,49.6,Good,Very High
JNJMED_32,Hamburg-Eimsbüttel,Altona,15.96,1.39,15.73,54.8,Good,Very High
JNJMED_33,Hamburg-Eimsbüttel,U Kellinghusenstraße,11.09,0.3,11.38,42.5,Excellent,Very High
JNJMED_34,Hamburg-Eimsbüttel,U Hoheluftbrücke,13.04,0.59,12.51,50.2,Good,Very High
JNJMED_35,Hamburg-Eimsbüttel,Lutterothstraße,12.52,1.12,12.29,48.3,Good,Very High
JNJMED_36,Hamburg-Eimsbüttel,U Klosterstern,12.12,0.58,12.08,49.3,Good,Very High
JNJMED_37,Hamburg-Eimsbüttel,U Klosterstern,13.0,1.09,12.08,47.9,Good,Very High
